Open5GS daemon v2.6.4-22-g93bcd7f

06/16 00:16:26.150: [app] INFO: Configuration: '/home/vagrant/open5gs/install/etc/open5gs/ausf.yaml' (../lib/app/ogs-init.c:126)
06/16 00:16:26.150: [app] INFO: File Logging: '/home/vagrant/open5gs/install/var/log/open5gs/ausf.log' (../lib/app/ogs-init.c:129)
06/16 00:16:26.152: [sbi] INFO: NF Service [nausf-auth] (../lib/sbi/context.c:1438)
06/16 00:16:26.152: [sbi] INFO: nghttp2_server() [http://127.0.0.11]:7777 (../lib/sbi/nghttp2-server.c:395)
06/16 00:16:26.152: [app] INFO: AUSF initialize...done (../src/ausf/app.c:31)
06/16 00:16:26.154: [sbi] INFO: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:214)
06/16 00:16:26.155: [sbi] INFO: [08639c62-0bdb-41ee-ac01-fbc203536705] Subscription created until 2023-06-17T00:16:26.155358+00:00 [duration:86400,validity:86399.999600,patch:43199.999800] (../lib/sbi/nnrf-handler.c:509)
06/16 00:16:49.938: [sbi] INFO: [168fa646-0bdb-41ee-8dc6-096fb7b48160] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:725)
06/16 00:16:49.938: [sbi] INFO: [168fa646-0bdb-41ee-8dc6-096fb7b48160] (NRF-notify) NF Profile updated (../lib/sbi/nnrf-handler.c:735)
06/16 00:49:18.115: [app] INFO: Signal-NUM[28] received (Window changed) (../src/main.c:63)
06/16 01:19:21.357: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c:AUSF] No heartbeat (../lib/sbi/nf-sm.c:307)
06/16 01:19:23.157: [sbi] INFO: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] NF de-registered (../lib/sbi/nf-sm.c:240)
06/16 01:19:24.898: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:26.899: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:28.512: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:30.514: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:30.792: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:32.795: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:35.148: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:37.151: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:37.159: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:39.161: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:39.473: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:41.477: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:41.479: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:43.481: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:43.794: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:45.795: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:45.796: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:47.798: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:47.801: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:49.804: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:49.806: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:51.808: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:51.812: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:53.821: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:53.824: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:55.846: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:55.849: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:57.852: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:57.854: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:19:59.862: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:19:59.865: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:01.868: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:01.870: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:03.873: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:03.877: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:05.891: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:05.895: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:07.897: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:07.899: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:09.902: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:09.904: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:11.905: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:11.907: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:13.939: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:13.940: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:15.941: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:15.944: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:17.947: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:17.949: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:19.953: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:19.956: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:21.959: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:21.962: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:23.964: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:23.967: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:25.969: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:25.971: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:27.971: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:27.974: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:29.978: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:29.980: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:31.982: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:31.985: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:33.987: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:33.990: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:36.003: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:36.006: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:38.011: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:38.014: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:40.015: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:40.018: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:42.020: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:42.024: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:44.025: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:44.027: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:46.032: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:46.034: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:48.035: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:48.037: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:50.039: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:50.043: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:52.046: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:52.048: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:54.049: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:54.052: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:56.053: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:56.054: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:20:58.058: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:20:58.058: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:00.059: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:00.061: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:02.062: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:02.062: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:04.065: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:04.066: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:06.070: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:06.071: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:08.076: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:08.078: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
